,지번주소,동,사업장명,업태구분명,좌표정보(X),좌표정보(Y),경도,위도
4774,서울특별시 강서구 화곡동 934-15 (지상 1층),화곡동,형제포차,한식,185854.3541,447328.6519,126.83786706611998,37.52808993507943
4775,서울특별시 강서구 내발산동 722-20 1층,내발산동,무침표 홍어무침,통닭(치킨),185385.6813,449550.9235,126.832520536042,37.548105023437714
4776,서울특별시 강서구 화곡동 1006-12 (지상 1층),화곡동,명궁,한식,185420.4867,449498.3807,126.8329154448516,37.5476321726989
4777,서울특별시 강서구 화곡동 1107-0번지 VIP오피스텔 (지상 3층) 1호,화곡동,뷔폐 웰,경양식,187052.3231,450291.9792,126.85136727337871,37.55480686804556
4778,서울특별시 강서구 공항동 53-63번지 (지상 1층) ,공항동,일품맛집,한식,183204.6502,450878.4741,126.80780933175242,37.56002876438984
4779,서울특별시 강서구 화곡동 340-51 (지상 1층) ,화곡동,고향닭도리탕,분식,186341.3922,447875.2565,126.84336675310502,37.533022162755955
4780,서울특별시 강서구 화곡동 799-12번지 (지상 1층) ,화곡동,홍어사랑,한식,187572.9828,447795.6933,126.85730209653224,37.53232280122355
4781,서울특별시 강서구 등촌동 673-1번지 (지상 2층) ,등촌동,라이드뎀 카우보이,한식,185691.6568,450741.0861,126.8359596773436,37.558833051689874
4782,서울특별시 강서구 등촌동 77-20 (지하 1층) ,등촌동,오야주,호프/통닭,187070.1451,451005.9861,126.85155632430688,37.561240227510346
4783,서울특별시 강서구 화곡동 102-40 (지상 1층) ,화곡동,빨강떡볶이,분식,186310.2467,448694.5966,126.84299903894612,37.540403869266854
4784,서울특별시 강서구 방화동 249-91번지 (지상 1층) ,방화동,한우정성곱창,한식,183412.7565,451860.2863,126.81014236800455,37.568878517273625
4785,서울특별시 강서구 공항동 665-8번지 (지상 1층) ,공항동,농장닭집,통닭(치킨),183521.9969,450493.5902,126.81140969778082,37.55656676830692
4786,서울특별시 강서구 화곡동 1073-9번지 거영오피스텔 (지상 1층) 101호,화곡동,홍콩반점0410화곡역점,일식,185547.9422,448700.0419,126.83437351390555,37.54044124917373
4787,서울특별시 강서구 화곡동 1024-16번지 (지상 1층) ,화곡동,남원골해담추어탕,한식,185488.5609,449183.8732,126.83369201644582,37.544799576756866
4788,서울특별시 강서구 방화동 886-0 외 6필지 김포공항 스카이파크 (지하 2층) ,방화동,명동가츠라,일식,182524.8238,451438.2509,126.800101763683,37.56505957682971
4789,서울특별시 강서구 화곡동 105-470번지 (지상 1층) ,화곡동,초원양꼬치,중국식,186008.1663,448785.8369,126.839579275516,37.54122138054605
4790,서울특별시 강서구 화곡동 980-31 외 1필지 (지상 1층),화곡동,옛날짜장짬뽕,중국식,186791.0224,449721.7999,126.84842041501604,37.54966589836783
4791,서울특별시 강서구 방화동 886-0 외 6필지 김포공항스카이파크 (지상 1층) ,방화동,롯데컬쳐웍스(주)롯데시네마 김포공항 샤롯데,경양식,182524.8238,451438.2509,126.800101763683,37.56505957682971
4792,서울특별시 강서구 방화동 886-0 외 6필지 김포공항 스카이파크 (지하 2층) ,방화동,T.G.I.F 롯데백화점 김포공항점,경양식,182524.8238,451438.2509,126.800101763683,37.56505957682971
4793,서울특별시 강서구 화곡동 338-22번지 (지상 1층) ,화곡동,초가진아구,한식,186362.9585,447975.6331,126.8436088784093,37.53392686666039
4794,서울특별시 강서구 화곡동 98-252번지 (지상 1층) ,화곡동,(주)민들레진,한식,186132.6201,449003.4687,126.84098334812178,37.543184106851
4795,서울특별시 강서구 내발산동 655-9번지 (지상 1층) 4호,내발산동,명지각,중국식,185533.4168,450415.9899,126.83417519999922,37.5559014990254
4796,서울특별시 강서구 화곡동 29-50 (지상 1층) ,화곡동,남도(이야기),한식,186469.9224,449335.4686,126.8447938948718,37.54618042135542
4797,서울특별시 강서구 화곡동 377-42번지 (지상 1층) ,화곡동,다음날,한식,185371.0404,448334.394,126.83237919684633,37.53714400107001
4798,서울특별시 강서구 방화동 451-10번지 (지상 1층) ,방화동,그,경양식,183324.6029,452773.6827,126.80912368832114,37.57710646222211
4799,서울특별시 강서구 화곡동 343-2번지 (지상 2층) ,화곡동,디제이(DJ),호프/통닭,186336.7019,447777.6442,126.84331551155711,37.53214261553969
4800,서울특별시 강서구 등촌동 507-1번지 (지상 1층) ,등촌동,러브호프,호프/통닭,187863.8945,449788.0367,126.86056029344218,37.550277503607944
4801,서울특별시 강서구 화곡동 829-7번지 (지상 1층) ,화곡동,오리돈바베큐,호프/통닭,187448.6002,447926.2191,126.85589262641318,37.53349713447458
4802,서울특별시 강서구 내발산동 750-10 웨스트엔드중정 (지상 1층) 109호,내발산동,송고집왕족발,한식,184623.199,450094.6599,126.82388078759642,37.55299156417823
4803,서울특별시 강서구 화곡동 1098-12 (지상 1층) ,화곡동,돈카츠향,한식,186665.5146,450159.6114,126.84699213642813,37.55360871061151
4804,서울특별시 강서구 화곡동 877-11,화곡동,전주식당,분식,186733.6734,447614.6458,126.84780967740441,37.530679835676516
4805,서울특별시 강서구 화곡동 1007-3 (지상 1층) ,화곡동,카페글렌 우장산역점,패스트푸드,185383.2599,449499.8098,126.83249415729442,37.54764445681338
4806,서울특별시 강서구 화곡동 98-49번지 (지상 1층) ,화곡동,홍두깨손칼국수,한식,186200.6867,449009.2266,126.8417534365917,37.543237010512286
4807,서울특별시 강서구 방화동 612-61번지 (지하1층) ,방화동,팔도하우스,한식,182968.7963,451337.1467,126.80512928059133,37.56415698710127
4808,서울특별시 강서구 내발산동 722-1번지 외 1필지 (지상 1층) 9호,내발산동,쾌남떡볶이,패스트푸드,185221.9273,449549.5592,126.83066750952304,37.548090110148785
