,경도,위도,clust
0,126.85990067639835,37.54876817343297,0
1,126.82615830309447,37.5590196164552,1
2,126.83612855677542,37.53256292122285,3
3,126.837473793619,37.56829201891165,1
4,126.82661125414714,37.55897368977938,1
5,126.82308142820744,37.568065477087,1
6,126.82388078759642,37.55299156417823,1
7,126.83889440882804,37.52812691727606,3
8,126.84076651826294,37.55684931036659,1
9,126.83462306614366,37.55514136717655,1
10,126.83363898850776,37.55915249114075,1
11,126.86281184024982,37.55156207873277,0
12,126.82379170506722,37.55267746179914,1
13,126.83404611108672,37.56063544135237,1
14,126.83569412835452,37.561037278418944,1
15,126.8344021358018,37.560184417513135,1
16,126.83305751867373,37.546227302488816,1
17,126.83714661463291,37.55878781688419,1
18,126.82920674929154,37.56012072932643,1
19,126.81294308023048,37.567227140235886,2
20,126.81015851675268,37.56896989140706,2
21,126.82931134476134,37.558685845144616,1
22,126.8552647983804,37.5313819146574,3
23,126.800101763683,37.56505957682971,2
24,126.84203615119976,37.533007046126,3
25,126.8348080162819,37.56012978047625,1
26,126.8351339843338,37.55484222285212,1
27,126.86942340749148,37.55097910522458,0
28,126.8319858231322,37.5598703378592,1
29,126.85312997391225,37.53515529658997,3
30,126.8339871562211,37.56024728721412,1
31,126.84992879839189,37.53054065770307,3
32,126.8261392662728,37.56040189687923,1
33,126.84056272609428,37.57031262566807,1
34,126.82931134476134,37.558685845144616,1
35,126.83191651501365,37.53650079104365,3
36,126.84512746876216,37.52845469818203,3
37,126.83470366944309,37.56057975418532,1
38,126.83734066931449,37.55606892896048,1
39,126.85170976243344,37.56355296102949,0
40,126.83182919294454,37.56042507244408,1
41,126.832520536042,37.548105023437714,1
42,126.80406180040816,37.5723564396851,2
43,126.84812222587126,37.55266274047034,0
44,126.8433513532743,37.53383559477711,3
45,126.81801453684466,37.57074255932765,2
46,126.83433609655476,37.55962106454443,1
47,126.83401981040684,37.54145011309738,3
48,126.8365309792636,37.53876408248875,3
49,126.83715660310877,37.56550537447887,1
50,126.8588449408535,37.53563167734043,3
51,126.82910602252326,37.55962637635124,1
52,126.82182978161192,37.55853426078499,1
53,126.8488118287849,37.55138637769581,0
54,126.82884838031138,37.55874250847223,1
55,126.8490874807733,37.55450648801877,0
56,126.8319858231322,37.5598703378592,1
57,126.85028226814698,37.552155072090194,0
58,126.8314427000827,37.55992541515814,1
59,126.82384335726891,37.56793541656248,1
60,126.86115703836268,37.552310243485785,0
61,126.82673256891948,37.56087361501505,1
62,126.8507148772843,37.531001399981,3
63,126.8429063172037,37.52789712096925,3
64,126.8389528578706,37.54019517442019,3
65,126.85806210129948,37.55635775933542,0
66,126.83746240054444,37.559326653057504,1
67,126.85619670380086,37.53063047495647,3
68,126.86901625333054,37.551628828002286,0
69,126.83824770503568,37.569524672686775,1
70,126.87417599876343,37.54735568352864,0
71,126.8584203181688,37.535572067090335,3
72,126.8167110747826,37.55663968636454,2
73,126.84803568072353,37.55428423408058,0
74,126.8339871562211,37.56024728721412,1
75,126.85169167287242,37.55244541954588,0
76,126.82673256891948,37.56087361501505,1
77,126.8245719091351,37.55845384457072,1
78,126.83540243925832,37.56011097205791,1
79,126.83433609655476,37.55962106454443,1
80,126.83632324639082,37.56295299448441,1
81,126.8566564034106,37.53273701248408,3
82,126.8091983749738,37.55639185358291,2
83,126.84901950035308,37.55224003435111,0
84,126.84901950035308,37.55224003435111,0
85,126.84562220992376,37.53435731946968,3
86,126.80866070565938,37.56544220322413,2
87,126.85653508448864,37.53339000176035,3
88,126.84301350993115,37.54655857254029,3
89,126.8052932986048,37.57118249630577,2
90,126.8261392662728,37.56040189687923,1
91,126.8093396131558,37.56600030018795,2
92,126.82673256891948,37.56087361501505,1
93,126.859007754621,37.556691534663095,0
94,126.81586574415029,37.552892527802896,2
95,126.81041230220674,37.578189162100415,2
96,126.8428925341052,37.54451750029215,3
97,126.8227472856988,37.56765788765775,1
98,126.87514402033052,37.54791958116667,0
99,126.80706588837272,37.56188944694562,2
100,126.84449729098466,37.53279131625017,3
101,126.84510987533476,37.5641927142912,1
